compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
chelidonic acid,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-epicatechin	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sparstolonin b,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tangeretin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferaldehyde,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapinic acid,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
silibinin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
miconazole,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 292,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaryl alcohol,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
5-methoxytryptamine,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dihydro-sinapyl alcohol	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tetrahydrobiopterin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
silibinin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ellipticine,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3-ureidopropionic acid	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanshinone iia,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
