Tag-date code, Genome sequenced,Cap date,Grid,Trap,Species,Tag1,Tag,recap?,FEC date,Initials,feces wt,no feces wt,Eimeria - sporulated,Eimeria - large,Eimeria - small,A. amer,S. pero,C. amer,Nem A,Nem B,Nem C,Tapeworm,Blastocystis,other,Notes,EPG-Eimeria,Eimeria y/n,EPG-Nematode,Nematode y/n,,Eim spor epg,Eim spor YN,Eim large epg,Eim large YN,Eim small epg,Eim small YN,Coccida epg,Coccidia YN,A. amer epg,A. amer YN,Nem A epg,Nem A YN,Nem C epg,Nem C YN,Nem YN,Blastocystis epg,Blastocystis YN
947-43662,947,7/16/19,RC2,E3,PM,PM-43662,947,947,8/12/19,,0.2084,,0,1,0,0,0,0,0,0,0,0,0,,,4.798464491,1,0,0,,0,0,4.798464491,1,0,0,4.798464491,1,0,0,0,0,0,0,0,0,0
947-43650,947,7/4/19,RC2,E2,PM,PM-43650,947,947,8/2/19,,0.0825,,0,1,0,0,0,0,0,0,0,0,0,,,12.12121212,1,0,0,,0,0,12.12121212,1,0,0,12.12121212,1,0,0,0,0,0,0,0,0,0
1617-43678,1617,8/1/19,RC2,D1,PM ,PM -43678,1617,1617,10/25/19,,0.1624,,0,2,0,0,0,0,0,0,0,0,2,3 nem E,1 photo,12.31527094,1,0,0,,0,0,12.31527094,1,0,0,12.31527094,1,0,0,0,0,0,0,0,12.31527094,1
1506-43656,#N/A,7/10/19,FH2,B4,DA,DA-43656,1506,#N/A,2/18/20,1.9232,0.4352,0,0,6,0,0,0,0,0,0,0,2,1,0,0,13.78676471,1,0,0,,0,0,13.78676471,1,0,0,13.78676471,1,0,0,0,0,0,0,0,2.297794118,1
1517-43663,#N/A,7/17/19,RC1,D1,PM ,PM -43663,1517,#N/A,9/29/19,0.2494,0.2881,0,4,0,0,0,0,0,0,0,0,0,20,1 UNKNOWN W PIC,1517RC1D1071719_40XUKN001A/B,13.88406803,1,0,0,,13.88406803,1,0,0,0,0,13.88406803,1,0,0,0,0,0,0,0,69.42034016,1
1605-43647,#N/A,7/1/19,RC1,A2,DA,DA-43647,1605,#N/A,8/2/19,,0.1424,,0,0,2,0,0,0,0,0,0,0,0,,,14.04494382,1,0,0,,0,0,0,0,14.04494382,1,14.04494382,1,0,0,0,0,0,0,0,0,0
1622-43685,1622,8/8/19,FH2,A3,PM ,PM -43685,1622,1622,10/4/19,0.027,0.0657,0,1,0,0,0,0,0,0,0,0,0,0,,,15.22070015,1,0,0,,15.22070015,1,0,0,0,0,15.22070015,1,0,0,0,0,0,0,0,0,0
1600-43643,1600,6/27/19,NK1,A4,PM,PM-43643,1600,#N/A,8/2/19,,0.1252,,1,1,0,0,0,0,0,0,0,0,0,,,15.97444089,1,0,0,,7.987220447,1,7.987220447,1,0,0,15.97444089,1,0,0,0,0,0,0,0,0,0
1623-43655,#N/A,7/9/19,FH2,D3,DA,DA-43655,1623,#N/A,8/2/19,,0.102,,0,1,1,0,0,0,0,0,0,0,9,,,19.60784314,1,0,0,,0,0,9.803921569,1,9.803921569,1,19.60784314,1,0,0,0,0,0,0,0,88.23529412,1
1624-43655,#N/A,7/9/19,FH2,B3,DA,DA-43655,1624,#N/A,8/2/19,,0.5407,,0,4,9,0,0,0,0,0,0,0,0,1 UKN BLOB,,24.04290734,1,0,0,,0,0,7.397817644,1,16.6450897,1,24.04290734,1,0,0,0,0,0,0,0,0,0
1611-43648,1611,7/2/19,RC1,C4,PM,PM-43648,1611,1611,8/2/19,,0.122,,0,3,0,0,0,0,0,0,0,0,0,,,24.59016393,1,0,0,,0,0,24.59016393,1,0,0,24.59016393,1,0,0,0,0,0,0,0,0,0
383-43655,#N/A,7/9/19,FH1,E4,DA,DA-43655,383,#N/A,2/10/20,1.5253,0.0373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.80965147,1,0,0,,0,0,26.80965147,1,0,0,26.80965147,1,0,0,0,0,0,0,0,0,0
1509-43656,#N/A,7/10/19,FH2,B1,PM,PM-43656,1509,#N/A,8/2/19,#N/A,0.1033,,0,1,2,0,0,0,0,0,0,0,0,,,29.04162633,1,0,0,,0,0,9.68054211,1,19.36108422,1,19.36108422,1,0,0,0,0,0,0,0,0,0
1604-43647,1604,7/1/19,NK2,D4,PM,PM-43647,1604,1604,8/2/19,,0.0984,,2,1,0,0,0,0,0,0,0,0,66,,"66 UKN BLASTOCYSTS (001,001A), 5 SPOR UKN BLASTOCYSTS (002)",30.48780488,1,0,0,,20.32520325,1,10.16260163,1,0,0,30.48780488,1,0,0,0,0,0,0,0,670.7317073,1
1546-43685,#N/A,8/8/19,FH3,A1,PM ,PM -43685,1546,#N/A,10/25/19,,0.1938,,0,7,0,0,0,0,0,0,0,0,53,7 nem E,,36.11971104,1,0,0,,,0,36.11971104,,0,0,36.11971104,0,0,0,0,0,0,0,0,273.4778122,1
948-43650,#N/A,7/4/19,RC2,E5,PM,PM-43650,948,#N/A,8/10/19,,0.0743,,0,3,0,0,0,0,0,0,0,0,0,,PIC OF LRG COCC- 001,40.37685061,1,0,0,,0,0,40.37685061,1,0,0,40.37685061,1,0,0,0,0,0,0,0,0,0
1601-43647,#N/A,7/1/19,NK2,E3,DA,DA-43647,1601,#N/A,2/8/20,1.7332,0.2452,0,2,8,0,0,0,0,0,0,0,0,1,0,0,40.78303426,1,0,0,2 UKN NEMS,8.156606852,1,32.62642741,1,0,0,40.78303426,1,0,0,0,0,0,0,0,4.078303426,1
1618-43650,1618,7/4/19,RC2,C2,PM,PM-43650,1618,1618,8/2/19,,0.0633,,1,2,0,0,0,0,0,0,0,0,0,,,47.39336493,1,0,0,,15.79778831,1,31.59557662,1,0,0,47.39336493,1,0,0,0,0,0,0,0,0,0
945-43650,945,7/4/19,HM2,A1,PM,PM-43650,945,#N/A,8/2/19,,0.1031,,4,1,1,0,0,0,0,0,0,0,2,,,58.19592629,1,0,0,,38.79728419,1,9.699321048,1,9.699321048,1,58.19592629,1,0,0,0,0,0,0,0,19.3986421,1
400-43655,#N/A,7/9/19,FH1,B3,DA,DA-43655,400,#N/A,8/2/19,,0.2741,,0,5,11,0,0,0,0,0,0,0,0,,WORMS BUT NO NEM EGG,58.37285662,1,0,0,,0,0,18.24151769,1,40.13133893,1,58.37285662,1,0,0,0,0,0,0,0,0,0
1502-43656,#N/A,7/10/19,FH1,A2,DA,DA-43656,1502,#N/A,2/21/20,2.4492,0.9612,0,0,60,0,0,0,0,0,0,0,0,0,0,0,62.42197253,1,0,0,,0,0,62.42197253,1,0,0,62.42197253,1,0,0,0,0,0,0,0,0,0
1530-43670,1530,7/24/19,HM1,E5,PM ,PM -43670,1530,#N/A,10/6/19,0.0491,0.0878,0,1,5,0,0,0,0,0,0,0,0,0,,,68.33712984,1,0,0,,11.38952164,1,56.9476082,1,0,0,68.33712984,1,0,0,0,0,0,0,0,0,0
1301-43643,#N/A,6/27/19,NK1,B3,DA,DA-43643,1301,#N/A,10/29/19,,0.3523,,1,0,44,0,0,0,0,0,0,0,0,0,0,127.7320466,1,0,0,10 ukn nems (check for photos),2.838489923,1,0,0,124.8935566,1,127.7320466,1,0,0,0,0,0,0,0,0,0
1501-43655,1501,7/9/19,FH1,A5,PM,PM-43655,1501,#N/A,8/6/19,#N/A,0.1592,,0,18,4,0,0,0,0,0,0,0,0,,3 LRG SEEDS REMOVED FROM SLIDE PRIOR TO FEC,138.1909548,1,0,0,,0,0,113.0653266,1,25.12562814,1,138.1909548,1,0,0,0,0,0,0,0,0,0
3986-43655,#N/A,7/9/19,FH2,A2,DA,DA-43655,3986,#N/A,8/2/19,,0.6886,,5,0,92,0,0,0,0,0,0,0,0,,PIC OF TICK,140.8655243,1,0,0,,7.261109498,1,0,0,133.6044148,1,140.8655243,1,0,0,0,0,0,0,0,0,0
1602-43647,1602,7/1/19,NK2,D3,PM,PM-43647,1602,#N/A,8/2/19,,0.0855,,1,13,0,0,0,0,0,0,0,0,0,,3 OF LRG EIMERIA WERE LIGHTER/MESSIER,163.7426901,1,0,0,,11.69590643,1,152.0467836,1,0,0,163.7426901,1,0,0,0,0,0,0,0,0,0
1618-43662,1618,7/16/19,RC2,B4,PM,PM-43662,1618,1618,8/12/19,#N/A,0.1724,,1,30,3,0,0,0,0,0,0,0,12,,,197.2157773,1,0,0,,5.800464037,1,174.0139211,1,17.40139211,1,197.2157773,1,0,0,0,0,0,0,0,69.60556845,1
1535-43685,1535,8/8/19,FH3,B1,PM ,PM -43685,1535,1535,10/4/19,0.1447,0.1834,3,32,5,0,0,0,0,0,0,0,0,0,,,201.7448201,1,0,0,,174.4820065,1,27.26281352,1,0,0,201.7448201,1,0,0,0,0,0,0,0,0,0
941-43650,941,7/4/19,HM1,D5,PM,PM-43650,941,941,8/10/19,,0.1413,,5,0,28,0,0,0,0,0,0,0,8,,,233.5456476,1,0,0,,35.38570418,1,0,0,198.1599434,1,233.5456476,1,0,0,0,0,0,0,0,56.61712668,1
1515-43679,1515,8/2/19,RC2,D4,PM ,PM -43679,1515,1515,10/4/19,0.129,0.1677,5,0,51,0,0,0,1,0,0,0,0,28,,SPILLED A BIT/BAD FEC TOP,304.1144902,1,0,0,,0,0,304.1144902,1,0,0,304.1144902,1,0,0,0,0,0,0,0,166.9648181,1
946-43678,946,8/1/19,RC1,E2,PM ,PM -43678,946,946,10/25/19,,0.1141,,0,43,0,0,0,0,0,0,0,0,0,"3 nem E, 4 isospora?",,376.8624014,1,0,0,,0,0,376.8624014,1,0,0,376.8624014,1,0,0,0,0,0,0,0,0,0
